Language,Dialect,DialectAlt,DialectContinuum,DialectContinuumAlt,SubDialect,SubDialectAlt,NativeSpeakers,LocationCountry,LocationCountryInfo,Level1Eng,Level2Eng,Level1Kur,Level2Kur,LocationOld,LocationAlt,LocationKur,LocationType,LocationInfo,,,DialectDensity,NativeSpeakersYear,OfficialLanguage,Notes,Sources
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Tokat,,Lêxistin,Tokat,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Sivas,,Sivas,Sivas,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Nigde,,Ne litûder,Nigde,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Erzinjan,,Erzincan,Erzinjan,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Malatya,,Malatya,Malatya,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Mardin,,Mêrdîn,Mardin,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Turkey,,,Agri,,Agri,Agri,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Syria,,,Aleppo,,Heleb,Aleppo,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iraq,,,Mosul,,Mûsil,Mosul,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iraq,,,Arbil,,Arbil,Arbil,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Varamin,,Gelek bilez,Varamin,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Iran,,,Sari,,Sari,Sari,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Armenia,,,Yerevan,,Yerevan,Erivan,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,North Kumânji,,,,,,Georgia,,,Akhaltzikhe,,Akhaltzikhe,Akhaltzikhe,,,City,,,,low,,,,(Aygen 2010)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Malatya,,Malatya,Malatya,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Adiyaman,,Adiyaman,Adiyaman,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Urfa,,Riha,Urfa,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Diyarbakir,,Amed,Diyarbakir,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Mus,,Mûş,Mus,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Agri,,Agri,Agri,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Bitlis,,Bedlîs,Bitlis,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Van,,Wan,Van,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Siirt,,Sêrt,Siirt,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Turkey,,,Hakkari,,Culemêrg,Hakkari,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Syria,,,Qamishlo,,Qamishlo,Qamishlo,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iraq,,,Sinjar,,Şengal,Sinjar,,,City,,,,middle,,,,(Haig 2014)
Kurdish,Northern Kurdish,Kurmanji,,,,,,Iraq,,,Dihok,,Dihok,Dihok,,,City,,,,middle,,,,(Haig 2014)
